INFO:2026-01-21 14:15:35,192: Epoch [1/500], Step [2800/35359], Mel Loss: 0.71218, Gen Loss: 9.84940, Disc Loss: 3.15540, Mono Loss: 0.02850, S2S Loss: 3.13248, SLM Loss: 2.78358
INFO:2026-01-21 14:16:18,857: Epoch [1/500], Step [2900/35359], Mel Loss: 0.72048, Gen Loss: 9.20717, Disc Loss: 3.21945, Mono Loss: 0.06008, S2S Loss: 3.09601, SLM Loss: 2.78120
INFO:2026-01-21 14:17:02,709: Epoch [1/500], Step [3000/35359], Mel Loss: 0.71123, Gen Loss: 7.79791, Disc Loss: 3.81678, Mono Loss: 0.03902, S2S Loss: 2.85004, SLM Loss: 2.68004
INFO:2026-01-21 14:17:45,758: Epoch [1/500], Step [3100/35359], Mel Loss: 0.69419, Gen Loss: 8.65826, Disc Loss: 3.41901, Mono Loss: 0.04227, S2S Loss: 3.76255, SLM Loss: 2.60691
INFO:2026-01-21 14:18:29,898: Epoch [1/500], Step [3200/35359], Mel Loss: 0.67347, Gen Loss: 8.70198, Disc Loss: 3.38786, Mono Loss: 0.03346, S2S Loss: 3.41017, SLM Loss: 2.59780
INFO:2026-01-21 14:19:13,790: Epoch [1/500], Step [3300/35359], Mel Loss: 0.70258, Gen Loss: 11.21797, Disc Loss: 3.11279, Mono Loss: 0.04597, S2S Loss: 2.92115, SLM Loss: 2.72346
INFO:2026-01-21 14:19:58,393: Epoch [1/500], Step [3400/35359], Mel Loss: 0.68419, Gen Loss: 13.09822, Disc Loss: 2.38888, Mono Loss: 0.01803, S2S Loss: 3.11424, SLM Loss: 2.58864
INFO:2026-01-21 14:20:42,315: Epoch [1/500], Step [3500/35359], Mel Loss: 0.67542, Gen Loss: 7.57732, Disc Loss: 3.59071, Mono Loss: 0.03535, S2S Loss: 3.27408, SLM Loss: 2.56731
INFO:2026-01-21 14:21:26,171: Epoch [1/500], Step [3600/35359], Mel Loss: 0.65838, Gen Loss: 13.29076, Disc Loss: 2.98415, Mono Loss: 0.05175, S2S Loss: 3.36720, SLM Loss: 2.74855
INFO:2026-01-21 14:22:10,044: Epoch [1/500], Step [3700/35359], Mel Loss: 0.66669, Gen Loss: 8.14175, Disc Loss: 3.59870, Mono Loss: 0.06071, S2S Loss: 3.70695, SLM Loss: 2.55891
INFO:2026-01-21 14:22:55,438: Epoch [1/500], Step [3800/35359], Mel Loss: 0.67860, Gen Loss: 13.51324, Disc Loss: 2.63209, Mono Loss: 0.03470, S2S Loss: 4.82001, SLM Loss: 2.71749
INFO:2026-01-21 14:23:39,276: Epoch [1/500], Step [3900/35359], Mel Loss: 0.65135, Gen Loss: 10.34914, Disc Loss: 3.37737, Mono Loss: 0.11128, S2S Loss: 3.43951, SLM Loss: 2.69722
INFO:2026-01-21 14:24:22,683: Epoch [1/500], Step [4000/35359], Mel Loss: 0.66275, Gen Loss: 8.54541, Disc Loss: 3.60375, Mono Loss: 0.06072, S2S Loss: 3.37287, SLM Loss: 2.59710
INFO:2026-01-21 14:25:06,935: Epoch [1/500], Step [4100/35359], Mel Loss: 0.65543, Gen Loss: 10.96665, Disc Loss: 3.09043, Mono Loss: 0.10763, S2S Loss: 3.88740, SLM Loss: 2.54136
INFO:2026-01-21 14:25:51,755: Epoch [1/500], Step [4200/35359], Mel Loss: 0.64172, Gen Loss: 16.07612, Disc Loss: 2.28098, Mono Loss: 0.02891, S2S Loss: 3.66039, SLM Loss: 2.61555
INFO:2026-01-21 14:26:35,890: Epoch [1/500], Step [4300/35359], Mel Loss: 0.64920, Gen Loss: 10.60659, Disc Loss: 3.31554, Mono Loss: 0.02246, S2S Loss: 3.29163, SLM Loss: 2.58039
INFO:2026-01-21 14:27:20,542: Epoch [1/500], Step [4400/35359], Mel Loss: 0.65641, Gen Loss: 10.73534, Disc Loss: 2.76299, Mono Loss: 0.04316, S2S Loss: 3.50266, SLM Loss: 2.73053
