INFO:2026-02-01 13:50:07,025: Epoch [1/3000], Step [2100], Loss: 0.63725, Disc Loss: 3.79167, Dur Loss: 3.14664, CE Loss: 0.12575, Norm Loss: 1.96761, F0 Loss: 10.62226, LM Loss: 2.49246, Gen Loss: 5.78606, Sty Loss: 0.41710, Diff Loss: 1.06190
INFO:2026-02-01 13:50:41,824: Epoch [1/3000], Step [2200], Loss: 0.64186, Disc Loss: 3.53322, Dur Loss: 2.15128, CE Loss: 0.11415, Norm Loss: 2.43715, F0 Loss: 10.02110, LM Loss: 2.50125, Gen Loss: 8.02733, Sty Loss: 0.49278, Diff Loss: 0.97256
INFO:2026-02-01 13:51:16,671: Epoch [1/3000], Step [2300], Loss: 0.63712, Disc Loss: 3.57737, Dur Loss: 3.34796, CE Loss: 0.16549, Norm Loss: 4.12726, F0 Loss: 8.04322, LM Loss: 2.64312, Gen Loss: 5.58353, Sty Loss: 0.52118, Diff Loss: 1.05246
INFO:2026-02-01 13:51:51,839: Epoch [1/3000], Step [2400], Loss: 0.64943, Disc Loss: 3.71679, Dur Loss: 4.54593, CE Loss: 0.22818, Norm Loss: 3.48821, F0 Loss: 10.36734, LM Loss: 2.66814, Gen Loss: 6.03965, Sty Loss: 0.55360, Diff Loss: 0.90239
INFO:2026-02-01 13:52:25,901: Epoch [1/3000], Step [2500], Loss: 0.63681, Disc Loss: 3.79370, Dur Loss: 2.33204, CE Loss: 0.11289, Norm Loss: 2.84668, F0 Loss: 7.28043, LM Loss: 2.35218, Gen Loss: 5.27910, Sty Loss: 0.44302, Diff Loss: 1.02760
INFO:2026-02-01 13:53:00,606: Epoch [1/3000], Step [2600], Loss: 0.64450, Disc Loss: 3.72324, Dur Loss: 3.26022, CE Loss: 0.17090, Norm Loss: 2.55780, F0 Loss: 7.07185, LM Loss: 2.31325, Gen Loss: 7.46927, Sty Loss: 0.53989, Diff Loss: 1.06197
INFO:2026-02-01 13:53:34,835: Epoch [1/3000], Step [2700], Loss: 0.61897, Disc Loss: 3.79218, Dur Loss: 3.73718, CE Loss: 0.19195, Norm Loss: 2.88959, F0 Loss: 8.66701, LM Loss: 2.54130, Gen Loss: 7.14777, Sty Loss: 0.50332, Diff Loss: 0.82704
INFO:2026-02-01 13:54:09,929: Epoch [1/3000], Step [2800], Loss: 0.62365, Disc Loss: 3.78510, Dur Loss: 3.12469, CE Loss: 0.12023, Norm Loss: 3.09323, F0 Loss: 5.86578, LM Loss: 2.44099, Gen Loss: 6.08933, Sty Loss: 0.48000, Diff Loss: 0.95803
INFO:2026-02-01 13:54:44,990: Epoch [1/3000], Step [2900], Loss: 0.64880, Disc Loss: 3.94344, Dur Loss: 1.96268, CE Loss: 0.09348, Norm Loss: 3.75450, F0 Loss: 8.32344, LM Loss: 2.56605, Gen Loss: 6.57169, Sty Loss: 0.43248, Diff Loss: 0.82676
INFO:2026-02-01 13:55:19,642: Epoch [1/3000], Step [3000], Loss: 0.63331, Disc Loss: 3.82118, Dur Loss: 1.63983, CE Loss: 0.06774, Norm Loss: 2.51138, F0 Loss: 8.92848, LM Loss: 2.62404, Gen Loss: 7.91191, Sty Loss: 0.38338, Diff Loss: 0.95002
INFO:2026-02-01 13:55:54,365: Epoch [1/3000], Step [3100], Loss: 0.63823, Disc Loss: 3.55448, Dur Loss: 3.40116, CE Loss: 0.16419, Norm Loss: 3.32429, F0 Loss: 10.38226, LM Loss: 2.72504, Gen Loss: 7.22103, Sty Loss: 0.46493, Diff Loss: 0.87922
INFO:2026-02-01 13:56:29,308: Epoch [1/3000], Step [3200], Loss: 0.65818, Disc Loss: 3.86532, Dur Loss: 2.89537, CE Loss: 0.12163, Norm Loss: 2.95357, F0 Loss: 6.48353, LM Loss: 2.61897, Gen Loss: 6.40108, Sty Loss: 0.44226, Diff Loss: 0.97347
INFO:2026-02-01 13:57:26,508: Epoch [2/3000], Step [100], Loss: 0.63796, Disc Loss: 3.34260, Dur Loss: 2.76848, CE Loss: 0.14107, Norm Loss: 3.33458, F0 Loss: 10.07085, LM Loss: 2.77971, Gen Loss: 8.15076, Sty Loss: 0.48150, Diff Loss: 0.90821
INFO:2026-02-01 13:58:01,964: Epoch [2/3000], Step [200], Loss: 0.64678, Disc Loss: 3.75617, Dur Loss: 1.92589, CE Loss: 0.08545, Norm Loss: 2.41269, F0 Loss: 6.19834, LM Loss: 2.55221, Gen Loss: 7.14425, Sty Loss: 0.44889, Diff Loss: 0.99586
INFO:2026-02-01 13:58:36,383: Epoch [2/3000], Step [300], Loss: 0.63302, Disc Loss: 3.72321, Dur Loss: 5.74348, CE Loss: 0.22434, Norm Loss: 2.03582, F0 Loss: 10.12646, LM Loss: 2.39592, Gen Loss: 6.29808, Sty Loss: 0.47693, Diff Loss: 1.03752
INFO:2026-02-01 13:59:11,492: Epoch [2/3000], Step [400], Loss: 0.64559, Disc Loss: 3.73180, Dur Loss: 3.35807, CE Loss: 0.15760, Norm Loss: 2.14312, F0 Loss: 6.68109, LM Loss: 2.51337, Gen Loss: 5.91157, Sty Loss: 0.47183, Diff Loss: 0.95472
